chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538184867,2018-09-29T01:34:27Z,AB4BJ-10,N3DAB-1,67(23/19),0,@,AB4BJ-10,/-,34.495167,-84.933500,,,,,,,SQ3PLX http://microsat.com.pl/,,,WX3IN1
0,1538184923,2018-09-29T01:35:23Z,KK4EHJ-12,KK4EHJ-12,75(13/20),0,`,KK4EHJ-12,/>,34.536535,-83.917757,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=248, A1=422, A2=631",
0,1538184923,2018-09-29T01:35:23Z,KK4EHJ-12,KK4EHJ-6,45(12/13),0,`,KK4EHJ-12,/>,34.536535,-83.917757,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=248, A1=422, A2=631",
0,1538184957,2018-09-29T01:35:57Z,WX4BK-13,N3DAB-1,68(24/19),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184959,2018-09-29T01:35:59Z,WX4BK-13,KK4EHJ-6,5(8/6),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184966,2018-09-29T01:36:06Z,KK4EHJ-6,KK4EHJ-6,5(1/1),0,!,KK4EHJ-6,6#,34.894333,-84.529833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538184967,2018-09-29T01:36:07Z,KK4EHJ-6,KK4EHJ-6,5(1/1),0,!,KK4EHJ-6,6#,34.894333,-84.529833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538184969,2018-09-29T01:36:09Z,KK4EHJ-6,N3DAB-1,70(26/19),0,!,KK4EHJ-6,6#,34.894333,-84.529833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538185042,2018-09-29T01:37:22Z,KK4EHJ-12,KK4EHJ-12,76(12/20),0,`,KK4EHJ-12,/>,34.536533,-83.917746,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=249, A1=422, A2=631",MT-RTG
0,1538185044,2018-09-29T01:37:24Z,KK4EHJ-12,KK4EHJ-6,9(7/8),0,`,KK4EHJ-12,/>,34.536533,-83.917746,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=249, A1=422, A2=631",MT-RTG
0,1538185047,2018-09-29T01:37:27Z,KK4EHJ-12,N3DAB-1,67(23/20),0,`,KK4EHJ-12,/>,34.536533,-83.917746,0.0,189.0,441.0,,,,Byonics TinyTrack3,In Service,"Seq=249, A1=422, A2=631",MT-RTG
0,1538185118,2018-09-29T01:38:38Z,K4MFC-2,N3DAB-1,66(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185153,2018-09-29T01:39:13Z,KK4EHJ-6,KK4EHJ-6,5(1/1),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538185154,2018-09-29T01:39:14Z,KK4EHJ-6,KK4EHJ-6,5(1/1),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538185162,2018-09-29T01:39:22Z,KK4EHJ-12,KK4EHJ-12,77(12/20),0,`,KK4EHJ-12,/>,34.536540,-83.917735,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=250, A1=422, A2=631",
0,1538185163,2018-09-29T01:39:23Z,KK4EHJ-12,KK4EHJ-6,12(8/8),0,`,KK4EHJ-12,/>,34.536540,-83.917735,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=250, A1=422, A2=631",
0,1538185166,2018-09-29T01:39:26Z,KK4EHJ-12,N3DAB-1,67(24/19),0,`,KK4EHJ-12,/>,34.536540,-83.917735,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=250, A1=422, A2=631",
0,1538185191,2018-09-29T01:39:51Z,K4MFC-2,N3DAB-1,67(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185214,2018-09-29T01:40:14Z,K4MFC-2,N3DAB-1,68(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185215,2018-09-29T01:40:15Z,K4MFC-2,N3DAB-1,65(21/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185215,2018-09-29T01:40:15Z,K4MFC-2,N3DAB-1,65(22/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185216,2018-09-29T01:40:16Z,K4MFC-2,N3DAB-1,65(22/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185253,2018-09-29T01:40:53Z,N3DAB-1,N3DAB-1,68(24/19),0,!,N3DAB-1,I&,34.484167,-84.347667,,,,,,,>40 APRSmax,,,Bent Tree iGate
0,1538185259,2018-09-29T01:40:59Z,K4SQC-6,N3DAB-1,66(23/19),0,=,K4SQC-6,/-,34.056167,-84.203833,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,"Johns Creek, GA {UISS54}"
0,1538185261,2018-09-29T01:41:01Z,K4SQC-6,KK4EHJ-6,4(7/6),0,=,K4SQC-6,/-,34.056167,-84.203833,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,"Johns Creek, GA {UISS54}"
0,1538185269,2018-09-29T01:41:09Z,WX4BK-13,N3DAB-1,76(28/19),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538185270,2018-09-29T01:41:10Z,WX4BK-13,KK4EHJ-6,37(16/12),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538185282,2018-09-29T01:41:22Z,KK4EHJ-12,KK4EHJ-12,87(19/23),0,`,KK4EHJ-12,/>,34.536542,-83.917740,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=251, A1=421, A2=631",
0,1538185283,2018-09-29T01:41:23Z,KK4EHJ-12,KK4EHJ-6,14(8/10),0,`,KK4EHJ-12,/>,34.536542,-83.917740,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=251, A1=421, A2=631",
0,1538185289,2018-09-29T01:41:29Z,K4MFC-2,N3DAB-1,65(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185290,2018-09-29T01:41:30Z,K4MFC-2,N3DAB-1,65(23/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185312,2018-09-29T01:41:52Z,K4MFC-2,N3DAB-1,66(24/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185333,2018-09-29T01:42:13Z,K4MFC-2,N3DAB-1,64(21/20),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185387,2018-09-29T01:43:07Z,K4MFC-2,N3DAB-1,65(22/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538185401,2018-09-29T01:43:21Z,KK4EHJ-12,KK4EHJ-12,76(12/20),0,`,KK4EHJ-12,/>,34.536533,-83.917751,0.0,189.0,440.0,,,,Byonics TinyTrack3,In Service,"Seq=252, A1=421, A2=631",
